time_s,speed_kmh,throttle,brake,ems_mode,selector_mode,selector_auto,soc_pct,i_batt_a,v_oc_v,v_batt_v,v_bus_v,p_batt_kw,t_batt_c,dcdc_eff_pct,ice_on,ice_rpm,ice_torque_nm,t_coolant_c,mg1_rpm,mg1_torque_nm,mg2_rpm,mg2_torque_nm,mg2_eff_pct,fuel_rate_gs,fuel_total_g,p_friction_kw,wheel_torque_nm
106.4,176.29174074176913,0.4,0.0,HYBRID,AUTO,True,80.0,-47.42886539709849,213.84098099024402,219.3941737653927,500.0,-10.405616736426454,55.34295039555786,96.8,1,2493.5,30.557749073643905,54.368161533595305,1598.93269593293,-77.86908965440381,12703.872475154069,0.5653019820118954,92.29078509876413,0.578457520376267,94.09813031450821,4.296425175,357.11209640899614
106.45,176.32100473414832,0.4,0.0,HYBRID,AUTO,True,80.0,-47.424802913791275,213.84070646630542,219.3928565200201,500.0,-10.404662981155633,55.347035459901285,96.8,1,2493.5,30.557749073643905,54.37334776764332,1598.6250019662675,-77.86908965440381,12705.981286523987,0.5642355520422359,92.28850940304123,0.578442161148163,94.12708841194501,4.296425175,357.10291251458625
106.5,176.35023067109907,0.4,0.0,HYBRID,AUTO,True,80.0,-47.42074632755991,213.84043201883597,219.39154035441067,500.0,-10.403710581559151,55.351119386449675,96.8,1,2493.5,30.557749073643905,54.3784520675844,1598.3177081304407,-77.86908965440381,12708.087355557213,0.5631708621194728,92.28623666667444,0.5784270442225348,94.15604574714555,4.296425175,357.0937436051331
106.55000000000001,176.37941859765616,0.4,0.0,HYBRID,AUTO,True,80.0,-41.134721802865045,213.8402196533793,218.65510080167005,500.0,-8.994316742254115,55.35417774404337,96.8,1,2493.5,26.73803043943842,54.383474550943994,1598.010813951935,-68.13545344760334,12710.190685499017,0.5621079090497008,92.28396688616172,0.5061106480953548,94.18138275909479,4.296425175,313.0541119010462
106.60000000000001,176.3907095976373,0.4,0.0,HYBRID,AUTO,True,80.0,-41.133675767764075,213.84001415609953,218.65440479074616,500.0,-8.99405939185599,55.35723569928536,96.8,1,2493.5,26.73803043943842,54.3884649400755,1597.8920956127977,-68.13545344760334,12711.00433350813,0.5616968127410935,92.28308884874181,0.5060977283954485,94.20671912239204,4.296425175,313.0505716169226
106.65,176.4019859099667,0.4,0.0,HYBRID,AUTO,True,80.0,-41.132631274457616,213.83980868583893,218.65370908252922,500.0,-8.993802392484206,55.36029325248717,96.8,1,2493.5,26.73803043943842,54.39342328045538,1597.7735317058298,-68.13545344760334,12711.816923100927,0.5612863037217984,92.2822119534978,0.5060848916255207,94.23205484119163,4.296425175,313.0470363904241
106.7,176.41324755308722,0.4,0.0,HYBRID,AUTO,True,80.0,-41.13158832082233,213.8396032425766,218.65301367665194,500.0,-8.99354574365518,55.363350403959856,96.8,1,2493.5,26.73803043943842,54.39834961750222,1597.655122037115,-68.13545344760334,12712.628455606431,0.5608763811053856,92.28133619899545,0.5060721376680474,94.25738991964188,4.296425175,313.043506213917
106.75,176.42449454542034,0.4,0.0,HYBRID,AUTO,True,80.0,-41.13054690473749,213.8393978262917,218.65231857274756,500.0,-8.993289444886004,55.36640715401406,96.8,1,2493.5,26.73803043943842,54.40324399657684,1597.536866412962,-68.13545344760334,12713.438932352123,0.5604670440068963,92.28046158380226,0.5060594664056534,94.2827243618853,4.296425175,313.0399810797802
106.80000000000001,176.4357269053662,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12950702408562,213.83919243696334,218.65162377044987,500.0,-8.993033495694444,55.36946350296,96.8,1,2493.5,26.73803043943842,54.408106462982325,1597.418764639904,-68.13545344760334,12714.248354663952,0.560058291542838,92.27958810648732,0.5060468777211131,94.30805817205854,4.296425175,313.0364609804052
106.85000000000001,176.4469446513035,0.4,0.0,HYBRID,AUTO,True,80.0,-41.128468676752014,213.83898707457067,218.6509292693931,500.0,-8.992777895598946,55.37251945110745,96.8,1,2493.5,26.73803043943842,54.4129370619641,1597.3008165247008,-68.13545344760334,12715.056723866312,0.5596501228311849,92.27871576562148,0.5060343714973509,94.33339135429229,4.296425175,313.03294590819615
